Log file open, 03/09/15 21:21:45
LogInit:Display: Running engine for game: Besieged
LogInit: Version: 4.7.2-2467323+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Mar  2 2015 23:16:34
[2015.03.10-02.21.49:493][  0]LogMeshUtilities: No automatic mesh reduction module available
[2015.03.10-02.21.49:493][  0]LogMeshUtilities: No automatic mesh merging module available
[2015.03.10-02.21.49:858][  0]LogInit: WinSock: version 1.1 (2.2), MaxSocks=32767, MaxUdp=65467
[2015.03.10-02.21.49:977][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Slate/Fonts/Roboto-Italic.ttf'
[2015.03.10-02.21.51:156][  0]UdpMessaging: Initializing bridge on interface 0.0.0.0:0 to multicast group 230.0.0.1:6666.
[2015.03.10-02.21.51:490][  0]SourceControl: Info Source control is disabled
[2015.03.10-02.21.51:490][  0]SourceControl: Info Source control is disabled
[2015.03.10-02.21.51:490][  0]SourceControl: Info Source control is disabled
[2015.03.10-02.21.51:490][  0]LogSourceControl: RunCommandInternalRaw: 'git version'
[2015.03.10-02.21.51:490][  0]LogSourceControl: RunCommandInternalRaw: ExecProcess ReturnCode=2 OutResults=''
[2015.03.10-02.21.51:504][  0]SourceControl: Info Source control is disabled
[2015.03.10-02.21.51:824][  0]LogObj: 24231 objects as part of root set at end of initial load.
[2015.03.10-02.21.51:824][  0]LogUObjectAllocator: 5136432 out of 0 bytes used by permanent object pool.
[2015.03.10-02.21.51:919][  0]LogEngine: Initializing Engine...
[2015.03.10-02.21.54:057][  0]LogInit: XAudio2 using 'Speakers (USB Multi-Channel Audio Device)' : 2 channels at 44.1 kHz using 16 bits per sample (channel mask 0x3)
[2015.03.10-02.21.54:062][  0]LogInit: FAudioDevice initialized.
[2015.03.10-02.21.54:117][  0]LogAIModule: Creating AISystem for world NewWorld
[2015.03.10-02.21.54:150][  0]LogDerivedDataCache: Saved boot cache 0.03s 39MB C:/Users/Joe/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.03.10-02.21.54:153][  0]LogInit: Texture streaming: Enabled
[2015.03.10-02.21.54:255][  0]LogAnalytics: Creating configured Analytics provider AnalyticsET
[2015.03.10-02.21.54:255][  0]LogAnalytics: ET APIKey = Rocket.Release. APIServer = http://et2.epicgames.com/ET2/. AppVersion = 4.7.2-2467323+++depot+UE4-Releases+4.7
[2015.03.10-02.21.54:255][  0]LogAnalytics: ET APIKey = Rocket.Release. DataRouterUploadURL = https://datarouter-public-service-gamedev.ol.epicgames.net/datarouter/api/v1/public/data. AppVersion = 4.7.2-2467323+++depot+UE4-Releases+4.7
[2015.03.10-02.21.54:255][  0]LogAnalytics: SetUserId bc97c46f45c473a86f24279856d02514|9152c747bdd2412c8380dcfdd68bbe6f|45f49899-3bdf-4aa7-ab11-e0fd3b4bf44b
[2015.03.10-02.21.54:255][  0]LogAnalytics: AnalyticsET::StartSession [Rocket.Release]
[2015.03.10-02.21.54:636][  0]LogInit: Transaction tracking system initialized
[2015.03.10-02.21.54:940][  0]BlueprintLog: New page: Editor Load
[2015.03.10-02.21.54:988][  0]LogAssetRegistry: FAssetRegistry took 0.0098 seconds to start up
[2015.03.10-02.21.54:988][  0]LogDirectoryWatcher:Warning: Failed to begin reading directory changes for ../../../Engine/Plugins/Experimental/CharacterAI/Content/. Error: 0
[2015.03.10-02.21.55:642][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.03.10-02.21.55:996][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.03.10-02.21.59:703][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Regular.ttf'
[2015.03.10-02.21.59:703][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Bold.ttf'
[2015.03.10-02.21.59:711][  0]LogConsoleResponse:Display: 
[2015.03.10-02.21.59:827][  0]LogCook:Display: Done creating registry. It took  0.00s.
[2015.03.10-02.22.00:073][  0]SourceControl: Info Source control is disabled
[2015.03.10-02.22.00:092][  0]LogPackageName:Error: DoesPackageExist: DoesPackageExist FAILED: 'StarterContent/StarterContent' is not a standard unreal filename or a long path name. Reason: Path should start with a '/'
[2015.03.10-02.22.00:092][  0]LogPackageName:Error: DoesPackageExist: DoesPackageExist FAILED: 'StarterContent/StarterContent' is not a standard unreal filename or a long path name. Reason: Path should start with a '/'
[2015.03.10-02.22.00:092][  0]LogFactory: FactoryCreateBinary: PackFactory with PackFactory (0 0 E:/Unreal engine/Epic Games/4.7/FeaturePacks/StarterContent.upack)
[2015.03.10-02.22.05:805][  0]LogPackFactory: Content/StarterContent/Architecture/Floor_400x400.uasset (48141) -> ../../../../../Projects/Besieged/Content/StarterContent/Architecture/Floor_400x400.uasset
[2015.03.10-02.22.05:808][  0]LogPackFactory: Content/StarterContent/Architecture/Pillar_50x500.uasset (65452) -> ../../../../../Projects/Besieged/Content/StarterContent/Architecture/Pillar_50x500.uasset
[2015.03.10-02.22.05:808][  0]LogPackFactory: Content/StarterContent/Architecture/SM_AssetPlatform.uasset (452977) -> ../../../../../Projects/Besieged/Content/StarterContent/Architecture/SM_AssetPlatform.uasset
[2015.03.10-02.22.05:809][  0]LogPackFactory: Content/StarterContent/Architecture/SM_CeilingPiece500x500.uasset (441) -> ../../../../../Projects/Besieged/Content/StarterContent/Architecture/SM_CeilingPiece500x500.uasset
[2015.03.10-02.22.05:810][  0]LogPackFactory: Content/StarterContent/Architecture/SM_FloorPiece500x500.uasset (439) -> ../../../../../Projects/Besieged/Content/StarterContent/Architecture/SM_FloorPiece500x500.uasset
[2015.03.10-02.22.05:811][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_400x200.uasset (42169) -> ../../../../../Projects/Besieged/Content/StarterContent/Architecture/Wall_400x200.uasset
[2015.03.10-02.22.05:811][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_400x300.uasset (41804) -> ../../../../../Projects/Besieged/Content/StarterContent/Architecture/Wall_400x300.uasset
[2015.03.10-02.22.05:812][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_400x400.uasset (43426) -> ../../../../../Projects/Besieged/Content/StarterContent/Architecture/Wall_400x400.uasset
[2015.03.10-02.22.05:813][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_500x500.uasset (57909) -> ../../../../../Projects/Besieged/Content/StarterContent/Architecture/Wall_500x500.uasset
[2015.03.10-02.22.05:813][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_Door_400x300.uasset (52430) -> ../../../../../Projects/Besieged/Content/StarterContent/Architecture/Wall_Door_400x300.uasset
[2015.03.10-02.22.05:814][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_Door_400x400.uasset (53246) -> ../../../../../Projects/Besieged/Content/StarterContent/Architecture/Wall_Door_400x400.uasset
[2015.03.10-02.22.05:814][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_Window_400x300.uasset (53709) -> ../../../../../Projects/Besieged/Content/StarterContent/Architecture/Wall_Window_400x300.uasset
[2015.03.10-02.22.05:815][  0]LogPackFactory: Content/StarterContent/Architecture/Wall_Window_400x400.uasset (54778) -> ../../../../../Projects/Besieged/Content/StarterContent/Architecture/Wall_Window_400x400.uasset
[2015.03.10-02.22.05:816][  0]LogPackFactory: Content/StarterContent/Audio/Collapse01.uasset (348532) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Collapse01.uasset
[2015.03.10-02.22.05:817][  0]LogPackFactory: Content/StarterContent/Audio/Collapse02.uasset (346701) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Collapse02.uasset
[2015.03.10-02.22.05:817][  0]LogPackFactory: Content/StarterContent/Audio/Collapse_Cue.uasset (6113) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Collapse_Cue.uasset
[2015.03.10-02.22.05:818][  0]LogPackFactory: Content/StarterContent/Audio/Explosion01.uasset (282440) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Explosion01.uasset
[2015.03.10-02.22.05:819][  0]LogPackFactory: Content/StarterContent/Audio/Explosion02.uasset (289195) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Explosion02.uasset
[2015.03.10-02.22.05:820][  0]LogPackFactory: Content/StarterContent/Audio/Explosion_Cue.uasset (7657) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Explosion_Cue.uasset
[2015.03.10-02.22.05:820][  0]LogPackFactory: Content/StarterContent/Audio/Fire01.uasset (549696) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Fire01.uasset
[2015.03.10-02.22.05:821][  0]LogPackFactory: Content/StarterContent/Audio/Fire01_Cue.uasset (3894) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Fire01_Cue.uasset
[2015.03.10-02.22.05:822][  0]LogPackFactory: Content/StarterContent/Audio/Fire_Sparks01.uasset (796274) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Fire_Sparks01.uasset
[2015.03.10-02.22.05:822][  0]LogPackFactory: Content/StarterContent/Audio/Fire_Sparks01_Cue.uasset (3908) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Fire_Sparks01_Cue.uasset
[2015.03.10-02.22.05:823][  0]LogPackFactory: Content/StarterContent/Audio/Light01.uasset (364532) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Light01.uasset
[2015.03.10-02.22.05:824][  0]LogPackFactory: Content/StarterContent/Audio/Light01_Cue.uasset (3852) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Light01_Cue.uasset
[2015.03.10-02.22.05:824][  0]LogPackFactory: Content/StarterContent/Audio/Light02.uasset (308156) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Light02.uasset
[2015.03.10-02.22.05:825][  0]LogPackFactory: Content/StarterContent/Audio/Light02_Cue.uasset (3852) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Light02_Cue.uasset
[2015.03.10-02.22.05:826][  0]LogPackFactory: Content/StarterContent/Audio/Smoke01.uasset (476002) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Smoke01.uasset
[2015.03.10-02.22.05:826][  0]LogPackFactory: Content/StarterContent/Audio/Smoke01_Cue.uasset (3872) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Smoke01_Cue.uasset
[2015.03.10-02.22.05:827][  0]LogPackFactory: Content/StarterContent/Audio/Starter_Background_Cue.uasset (9874) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Starter_Background_Cue.uasset
[2015.03.10-02.22.05:828][  0]LogPackFactory: Content/StarterContent/Audio/Starter_Birds01.uasset (2689459) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Starter_Birds01.uasset
[2015.03.10-02.22.05:829][  0]LogPackFactory: Content/StarterContent/Audio/Starter_Music01.uasset (8445372) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Starter_Music01.uasset
[2015.03.10-02.22.05:834][  0]LogPackFactory: Content/StarterContent/Audio/Starter_Music_Cue.uasset (3390) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Starter_Music_Cue.uasset
[2015.03.10-02.22.05:834][  0]LogPackFactory: Content/StarterContent/Audio/Starter_Wind05.uasset (2312702) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Starter_Wind05.uasset
[2015.03.10-02.22.05:836][  0]LogPackFactory: Content/StarterContent/Audio/Starter_Wind06.uasset (2195539) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Starter_Wind06.uasset
[2015.03.10-02.22.05:837][  0]LogPackFactory: Content/StarterContent/Audio/Steam01.uasset (819028) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Steam01.uasset
[2015.03.10-02.22.05:838][  0]LogPackFactory: Content/StarterContent/Audio/Steam01_Cue.uasset (3900) -> ../../../../../Projects/Besieged/Content/StarterContent/Audio/Steam01_Cue.uasset
[2015.03.10-02.22.05:839][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/FogBrightnessLUT.uasset (1011) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Assets/FogBrightnessLUT.uasset
[2015.03.10-02.22.05:840][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/M_LightStage_Arrows.uasset (44857) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Assets/M_LightStage_Arrows.uasset
[2015.03.10-02.22.05:840][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Black.uasset (67062) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Black.uasset
[2015.03.10-02.22.05:841][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/M_LightStage_Skybox_HDRI.uasset (100458) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Assets/M_LightStage_Skybox_HDRI.uasset
[2015.03.10-02.22.05:842][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.uasset (75669) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.uasset
[2015.03.10-02.22.05:843][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/Skybox.uasset (644855) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Assets/Skybox.uasset
[2015.03.10-02.22.05:843][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/SM_Arrows.uasset (520136) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Assets/SM_Arrows.uasset
[2015.03.10-02.22.05:844][  0]LogPackFactory: Content/StarterContent/Blueprints/Assets/SunlightColorLUT.uasset (1506) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Assets/SunlightColorLUT.uasset
[2015.03.10-02.22.05:845][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_CeilingLight.uasset (66613) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Blueprint_CeilingLight.uasset
[2015.03.10-02.22.05:846][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_Effect_Explosion.uasset (8324) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Blueprint_Effect_Explosion.uasset
[2015.03.10-02.22.05:847][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_Effect_Fire.uasset (8332) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Blueprint_Effect_Fire.uasset
[2015.03.10-02.22.05:847][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_Effect_Smoke.uasset (8346) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Blueprint_Effect_Smoke.uasset
[2015.03.10-02.22.05:848][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_Effect_Sparks.uasset (8365) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Blueprint_Effect_Sparks.uasset
[2015.03.10-02.22.05:848][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_Effect_Steam.uasset (8354) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Blueprint_Effect_Steam.uasset
[2015.03.10-02.22.05:849][  0]LogPackFactory: Content/StarterContent/Blueprints/Blueprint_WallSconce.uasset (52866) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/Blueprint_WallSconce.uasset
[2015.03.10-02.22.05:850][  0]LogPackFactory: Content/StarterContent/Blueprints/BP_LightStudio.uasset (337416) -> ../../../../../Projects/Besieged/Content/StarterContent/Blueprints/BP_LightStudio.uasset
[2015.03.10-02.22.05:850][  0]LogPackFactory: Content/StarterContent/HDRI/HDRI_Epic_Courtyard_Daylight.uasset (72364642) -> ../../../../../Projects/Besieged/Content/StarterContent/HDRI/HDRI_Epic_Courtyard_Daylight.uasset
[2015.03.10-02.22.05:882][  0]LogPackFactory: Content/StarterContent/Maps/Advanced_Lighting.umap (223408) -> ../../../../../Projects/Besieged/Content/StarterContent/Maps/Advanced_Lighting.umap
[2015.03.10-02.22.05:882][  0]LogPackFactory: Content/StarterContent/Maps/Minimal_Default.umap (2154106) -> ../../../../../Projects/Besieged/Content/StarterContent/Maps/Minimal_Default.umap
[2015.03.10-02.22.05:884][  0]LogPackFactory: Content/StarterContent/Maps/StarterMap.umap (16371806) -> ../../../../../Projects/Besieged/Content/StarterContent/Maps/StarterMap.umap
[2015.03.10-02.22.05:891][  0]LogPackFactory: Content/StarterContent/Materials/M_AssetPlatform.uasset (68672) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_AssetPlatform.uasset
[2015.03.10-02.22.05:892][  0]LogPackFactory: Content/StarterContent/Materials/M_Basic_Floor.uasset (65286) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Basic_Floor.uasset
[2015.03.10-02.22.05:893][  0]LogPackFactory: Content/StarterContent/Materials/M_Basic_Wall.uasset (55455) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Basic_Wall.uasset
[2015.03.10-02.22.05:893][  0]LogPackFactory: Content/StarterContent/Materials/M_Brick_Clay_Beveled.uasset (100568) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Brick_Clay_Beveled.uasset
[2015.03.10-02.22.05:894][  0]LogPackFactory: Content/StarterContent/Materials/M_Brick_Clay_New.uasset (130734) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Brick_Clay_New.uasset
[2015.03.10-02.22.05:895][  0]LogPackFactory: Content/StarterContent/Materials/M_Brick_Clay_Old.uasset (123390) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Brick_Clay_Old.uasset
[2015.03.10-02.22.05:895][  0]LogPackFactory: Content/StarterContent/Materials/M_Brick_Cut_Stone.uasset (122803) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Brick_Cut_Stone.uasset
[2015.03.10-02.22.05:896][  0]LogPackFactory: Content/StarterContent/Materials/M_Brick_Hewn_Stone.uasset (90915) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Brick_Hewn_Stone.uasset
[2015.03.10-02.22.05:897][  0]LogPackFactory: Content/StarterContent/Materials/M_Ceramic_Tile_Checker.uasset (91562) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Ceramic_Tile_Checker.uasset
[2015.03.10-02.22.05:897][  0]LogPackFactory: Content/StarterContent/Materials/M_CobbleStone_Pebble.uasset (122364) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_CobbleStone_Pebble.uasset
[2015.03.10-02.22.05:898][  0]LogPackFactory: Content/StarterContent/Materials/M_CobbleStone_Rough.uasset (199387) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_CobbleStone_Rough.uasset
[2015.03.10-02.22.05:899][  0]LogPackFactory: Content/StarterContent/Materials/M_CobbleStone_Smooth.uasset (206806) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_CobbleStone_Smooth.uasset
[2015.03.10-02.22.05:899][  0]LogPackFactory: Content/StarterContent/Materials/M_ColorGrid_LowSpec.uasset (85099) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_ColorGrid_LowSpec.uasset
[2015.03.10-02.22.05:900][  0]LogPackFactory: Content/StarterContent/Materials/M_Concrete_Grime.uasset (91620) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Concrete_Grime.uasset
[2015.03.10-02.22.05:901][  0]LogPackFactory: Content/StarterContent/Materials/M_Concrete_Panels.uasset (102285) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Concrete_Panels.uasset
[2015.03.10-02.22.05:901][  0]LogPackFactory: Content/StarterContent/Materials/M_Concrete_Poured.uasset (104859) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Concrete_Poured.uasset
[2015.03.10-02.22.05:902][  0]LogPackFactory: Content/StarterContent/Materials/M_Concrete_Tiles.uasset (105831) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Concrete_Tiles.uasset
[2015.03.10-02.22.05:903][  0]LogPackFactory: Content/StarterContent/Materials/M_Glass.uasset (48151) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Glass.uasset
[2015.03.10-02.22.05:904][  0]LogPackFactory: Content/StarterContent/Materials/M_Ground_Grass.uasset (95378) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Ground_Grass.uasset
[2015.03.10-02.22.05:904][  0]LogPackFactory: Content/StarterContent/Materials/M_Ground_Gravel.uasset (120447) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Ground_Gravel.uasset
[2015.03.10-02.22.05:905][  0]LogPackFactory: Content/StarterContent/Materials/M_Ground_Moss.uasset (128000) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Ground_Moss.uasset
[2015.03.10-02.22.05:905][  0]LogPackFactory: Content/StarterContent/Materials/M_Metal_Brushed_Nickel.uasset (79826) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Metal_Brushed_Nickel.uasset
[2015.03.10-02.22.05:906][  0]LogPackFactory: Content/StarterContent/Materials/M_Metal_Burnished_Steel.uasset (97779) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Metal_Burnished_Steel.uasset
[2015.03.10-02.22.05:907][  0]LogPackFactory: Content/StarterContent/Materials/M_Metal_Chrome.uasset (79618) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Metal_Chrome.uasset
[2015.03.10-02.22.05:907][  0]LogPackFactory: Content/StarterContent/Materials/M_Metal_Copper.uasset (94475) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Metal_Copper.uasset
[2015.03.10-02.22.05:908][  0]LogPackFactory: Content/StarterContent/Materials/M_Metal_Gold.uasset (96084) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Metal_Gold.uasset
[2015.03.10-02.22.05:909][  0]LogPackFactory: Content/StarterContent/Materials/M_Metal_Rust.uasset (109365) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Metal_Rust.uasset
[2015.03.10-02.22.05:910][  0]LogPackFactory: Content/StarterContent/Materials/M_Metal_Steel.uasset (96230) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Metal_Steel.uasset
[2015.03.10-02.22.05:910][  0]LogPackFactory: Content/StarterContent/Materials/M_Rock_Basalt.uasset (121462) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Rock_Basalt.uasset
[2015.03.10-02.22.05:911][  0]LogPackFactory: Content/StarterContent/Materials/M_Rock_Marble_Polished.uasset (98409) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Rock_Marble_Polished.uasset
[2015.03.10-02.22.05:911][  0]LogPackFactory: Content/StarterContent/Materials/M_Rock_Sandstone.uasset (113552) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Rock_Sandstone.uasset
[2015.03.10-02.22.05:912][  0]LogPackFactory: Content/StarterContent/Materials/M_Rock_Slate.uasset (110874) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Rock_Slate.uasset
[2015.03.10-02.22.05:913][  0]LogPackFactory: Content/StarterContent/Materials/M_Tech_Checker_Dot.uasset (98373) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Tech_Checker_Dot.uasset
[2015.03.10-02.22.05:913][  0]LogPackFactory: Content/StarterContent/Materials/M_Tech_Hex_Tile.uasset (140303) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Tech_Hex_Tile.uasset
[2015.03.10-02.22.05:914][  0]LogPackFactory: Content/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.uasset (115223) -> ../../../../../Projects/Besieged/Content/StarterContent/Materials/M_Tech_Hex_Tile_Pulse.uasset
